title,season,episode,description,rating,total_vote,airdate,runtime,list_of_the_cast
Pilot,1 ,1,"A troubled teen boy's life is forever changed when, upon landing in jail for a crime his brother committed, a public defender from Orange County, California decides to take him into his home.",9.0/10,"1,160",Episode aired 5 August 2003,45min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Tate Donovan  as  Jimmy Cooper
Melinda Clarke  as  Julie Cooper
Daphne Ashbrook  as  Dawn Atwood
Chris Carmack  as  Luke Ward
Rachel Bilson  as  Summer Roberts
Ruth Williamson  as  Peggy
Drew Fuller  as  Norland
Ashley Hartman  as  Holly Fischer
Alison Simpson  as  Karen Coughlin, Newport Woman #2
Barry Wiggins  as  Agent Steve Pearlman"
The Perfect Couple,1 ,10,"Work keeps Sandy and Kirsten apart, Rachel makes a play for Sandy, Julie's secret lover is revealed and - omigod! - Summer realizes she likes Seth (but don't ever tell anyone).",8.1/10,453,Episode aired 12 November 2003,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward (credit only)
  Tate Donovan  as  Jimmy Cooper
Bonnie Somerville  as  Rachel Hoffman
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Samaire Armstrong  as  Anna Stern
Alan Dale  as  Caleb Nichol
Shailene Woodley  as  Kaitlin Cooper
Josh Kloss  as  Chip Saunders
Kelly McCracken  as  Riviera Photographer"
The Homecoming,1 ,11,Thanksgiving dinner at the Cohens descends into bedlam when unexpected guests arrive. Ryan returns to his hometown when his brother calls on him for a favor.,8.6/10,496,Episode aired 19 November 2003,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward (credit only)
  Tate Donovan  as  Jimmy Cooper
Bonnie Somerville  as  Rachel Hoffman
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Samaire Armstrong  as  Anna Stern
Alan Dale  as  Caleb Nichol
Josh Kloss  as  Chip Saunders
Navi Rawat  as  Theresa Diaz
Gina Gallego  as  Eva"
The Secret,1 ,12,"No one was supposed to see what happened. But Luke did. And so did Ryan. Now, somehow, all Newport knows that Luke's dad has been living a lie. And subsequent gossip raises questions of secrecy and trust.",8.5/10,441,Episode aired 26 November 2003,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward
Tate Donovan  as  Jimmy Cooper
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Samaire Armstrong  as  Anna Stern
Brian McNamara  as  Carson Ward
Kimberly Oja  as  Taryn Baker (as Kim Oja)
  Kevin West  as  Mr. Bendis
Kate Rodger  as  Meredith Ward
Katherine Disque  as  Lynn"
The Best Chrismukkah Ever,1 ,13,Ryan is introduced to a Cohen family tradition as unpleasant memories of the holidays back home resurface. Marissa sinks deeper into depression.,8.7/10,506,Episode aired 3 December 2003,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward (credit only)
  Tate Donovan  as  Jimmy Cooper
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Samaire Armstrong  as  Anna Stern
Alan Dale  as  Caleb Nichol
Taylor Handley  as  Oliver Trask
Todd Sherry  as  Waiter
Mark Daniel Cade  as  Security Guard
Tom Schmid  as  Cop"
The Countdown,1 ,14,It's New Year's Eve. Ryan may have competition for Marissa's affections. Kirsten's sister stirs up trouble.,8.5/10,494,Episode aired 17 December 2003,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward (credit only)
  Melinda Clarke  as  Julie Cooper (credit only)
  Rachel Bilson  as  Summer Roberts
Tate Donovan  as  Jimmy Cooper (credit only)
  Taylor Handley  as  Oliver Trask
Samaire Armstrong  as  Anna Stern
Amanda Righetti  as  Hailey Nichol
Alaina Huffman  as  Yvette (as Alaina Kalanj)
  Kimberly Oja  as  Taryn Baker (as Kim Oja)
  Matt Phillips  as  Allan"
The Third Wheel,1 ,15,"Ryan doesn't know much about Oliver, Marissa's therapy friend, but he knows he doesn't like him. Yet, Ryan still assists Oliver when he runs into trouble with the law at a Rooney concert.",7.8/10,405,Episode aired 7 January 2004,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward
Melinda Clarke  as  Julie Cooper (credit only)
  Rachel Bilson  as  Summer Roberts
Tate Donovan  as  Jimmy Cooper
Samaire Armstrong  as  Anna Stern
Taylor Handley  as  Oliver Trask
Amanda Righetti  as  Hailey Nichol
Megan Linder  as  Paula
Craig Warner  as  Bartender
Antonio Leon  as  Undercover Cop"
The Links,1 ,16,"He says he's a friend. But who can believe a word Oliver says? During a group getaway in Palm Springs, Ryan is sure he's wise to Oliver's game. Marissa is just as sure Oliver is a friend who needs help.",7.7/10,396,Episode aired 14 January 2004,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Tate Donovan  as  Jimmy Cooper
Samaire Armstrong  as  Anna Stern
Alan Dale  as  Caleb Nichol
Taylor Handley  as  Oliver Trask
Amanda Righetti  as  Hailey Nichol
Michael Reilly Burke  as  Tom Willington"
The Rivals,1 ,17,"People who won't be on each other's Christmas-card list: Ryan and Oliver. Their rivalry for Marissa intensifies, with Ryan risking his standing at Harbor to unmask Oliver's true character.",7.8/10,404,Episode aired 21 January 2004,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Tate Donovan  as  Jimmy Cooper
Samaire Armstrong  as  Anna Stern
Alan Dale  as  Caleb Nichol
Taylor Handley  as  Oliver Trask
Rosalind Chao  as  Dr. Kim
Kevin West  as  Mr. Bendis
Bret Harrison  as  Danny"
The Truth,1 ,18,"Now sure of the truth, Ryan races against time to keep Oliver from hurting himself or Marissa.",8.2/10,416,Episode aired 11 February 2004,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Samaire Armstrong  as  Anna Stern
Tate Donovan  as  Jimmy Cooper (credit only)
  Alan Dale  as  Caleb Nichol
Taylor Handley  as  Oliver Trask
Debi M. Cox  as  Natalie Bishop
Jack Merrill  as  Workman
Bryan Okes  as  Security Guard #1 (as Bryan Okes Fuller)"
